restaurant_id,Name,Rating,cusines,delivery_review_number,location,Longitude,Latitude,Restaurant_link,price_for_one
19,Thakkali Kitchen,3.9,"South Indian, Rolls, North Indian, Chinese, Biryani, Seafood",609,"Bommanahalli, Bangalore",77.6239038,12.9089453,https://www.zomato.com/bangalore/thakkali-kitchen-bommanahalli-bangalore/order,150
20,Kalpataru Hotel,0,"South Indian, Chinese, Biryani",3,"Bannerghatta Road, Bangalore",77.6041899,12.9521804,https://www.zomato.com/bangalore/kalpataru-hotel-1-bannerghatta-road-bangalore/order,150
21,Begum's Authentic Hyderabadi Kitchen,4,Hyderabadi,59,"Richmond Road, Bangalore",77.6068229,12.9662452,https://www.zomato.com/bangalore/begums-authentic-hyderabadi-kitchen-richmond-road-bangalore/order,300
22,New Guru Nalapaka,3.7,"South Indian, North Indian, Chinese",377,"KR Puram, Bangalore",77.695935,13.007516,https://www.zomato.com/bangalore/new-guru-nalapaka-kr-puram-bangalore/order,150
23,Lassi Shop,3.9,"Sandwich, Pizza, Burger, Beverages, Ice Cream, Desserts",6,"BTM, Bangalore",77.60456543,12.91127585,https://www.zomato.com/bangalore/lassi-shop-6-btm-bangalore/order,175
24,Salem Kitchen,3.8,"Chettinad, Chinese, South Indian, Mughlai, Biryani, Sichuan",147,"Brookefield, Bangalore",77.7168891,12.9668213,https://www.zomato.com/bangalore/salem-kitchen-brookefield/order,250
25,A1 Chicken Biryani Point,0,"Biryani, North Indian",1,"RT Nagar, Bangalore",77.595715,13.0227204,https://www.zomato.com/bangalore/a1-chicken-biryani-point-rt-nagar-bangalore/order,150
26,Hiyar Majhe Kolkata,3.9,"Bengali, North Indian, Chinese, Biryani",3758,"Electronic City, Bangalore",77.64825296,12.8487599,https://www.zomato.com/bangalore/hiyar-majhe-kolkata-electronic-city-bangalore/order,150
27,Potful - Claypot Biryanis,4.1,"Biryani, Kebab, Mughlai, North Indian, Desserts, Beverages",5237,"Koramangala 1st Block, Bangalore",77.6308832,12.9275886,https://www.zomato.com/bangalore/potful-claypot-biryanis-koramangala-1st-block-bangalore/order,350
28,Hakka Box,4,"Chinese, Thai, Momos, Seafood, Sichuan",328,"Hebbal, Bangalore",77.5919,13.0382184,https://www.zomato.com/bangalore/hakka-box-hebbal-bangalore/order,250
29,Cake Bite,3.6,"Bakery, Desserts, Fast Food",341,"Jayanagar, Bangalore",77.5824229,12.9292731,https://www.zomato.com/bangalore/cake-bite-jayanagar-bangalore/order,200
30,Aarya Home Made,0,"North Indian, Chinese, South Indian, Andhra",0,"Marathahalli, Bangalore",77.6984163,12.9552572,https://www.zomato.com/bangalore/aarya-home-made-marathahalli-bangalore/order,200
31,Sanchez,3.7,"Mexican, Tex-Mex, Beverages",278,"UB City, Bangalore",77.59620032,12.97229145,https://www.zomato.com/bangalore/sanchez-lavelle-road/order,1100
32,Sardar Ji Ka Dhaba,0,"North Indian, Kebab",0,"Marathahalli, Bangalore",77.6984163,12.9552572,https://www.zomato.com/bangalore/sardar-ji-ka-dhaba-marathahalli-bangalore/order,300
33,Cake Boutique,0,"Bakery, Desserts",0,"Jalahalli, Bangalore",77.5483803,13.0464531,https://www.zomato.com/bangalore/cake-boutique-jalahalli-bangalore/order,400
34,Veruthe Oru Thattukada,4,"Kerala, South Indian",2861,"Bannerghatta Road, Bangalore",77.6041899,12.9521804,https://www.zomato.com/bangalore/veruthe-oru-thattukada-bannerghatta-road/order,150
35,Bhartiya Jalpan,3.8,"North Indian, Street Food, Rajasthani, Bengali, Mithai, Beverages, Desserts",2005,"Commercial Street, Bangalore",77.6082954,12.9822323,https://www.zomato.com/bangalore/bhartiya-jalpan-commercial-street-bangalore/order,350
36,Champaran Meat House,3.7,"North Indian, Bihari",1476,"HSR, Bangalore",77.6398674,12.9092342,https://www.zomato.com/bangalore/champaran-meat-house-hsr-bangalore/order,150
37,Kwality Wall’s Frozen Dessert And Ice Cream Shop,4.4,"Ice Cream, Desserts",301,"Marathahalli, Bangalore",77.6984163,12.9552572,https://www.zomato.com/bangalore/kwality-walls-frozen-dessert-and-ice-cream-shop-9-marathahalli-bangalore/order,100
38,The Masala Bay Leaf,3.9,"North Indian, Biryani",50,"Kalyan Nagar, Bangalore",77.6403368,13.0221416,https://www.zomato.com/bangalore/the-masala-bay-leaf-kalyan-nagar-bangalore/order,150
39,Itminaan Matka Biryani - Slow Cooked,3.8,"Biryani, North Indian, Desserts",62,"City Market, Bangalore",77.57627054,12.965718,https://www.zomato.com/bangalore/itminaan-matka-biryani-slow-cooked-city-market-bangalore/order,250
40,Slurpy Shakes,3.7,"Beverages, Burger, Fast Food, Bakery, Shake",678,"Kalyan Nagar, Bangalore",77.6403368,13.0221416,https://www.zomato.com/bangalore/slurpy-shakes-kalyan-nagar-bangalore/order,200
41,EatFit,4.1,"Healthy Food, North Indian, Pizza, Burger, Pasta, Biryani, Chinese, Beverages",1516,"Cunningham Road, Bangalore",77.5970428,12.9845781,https://www.zomato.com/bangalore/eatfit-cunningham-road-bangalore/order,200
42,Chai Point,4.2,"North Indian, Street Food, Fast Food, Biryani, Desserts, Tea, Beverages",3916,"Banashankari, Bangalore",77.59445195,12.96528325,https://www.zomato.com/bangalore/chai-point-banashankari-bangalore/order,200
43,New Cake Of The Day,2.5,Bakery,36,"Sanjay Nagar, Bangalore",77.6958748,12.9578658,https://www.zomato.com/bangalore/new-cake-of-the-day-sanjay-nagar-bangalore/order,125
44,Taste Of Malabar,3.5,"Kerala, North Indian, Chinese, Mughlai, Arabian, Shake, Sichuan",155,"New BEL Road, Bangalore",77.564105,13.0393922,https://www.zomato.com/bangalore/taste-of-malabar-new-bel-road-bangalore/order,150
45,EasyBites by Empire,3.7,"Burger, Fast Food, Beverages",1787,"Koramangala 5th Block, Bangalore",77.6189768,12.9348429,https://www.zomato.com/bangalore/easybites-by-empire-koramangala-5th-block-bangalore/order,100
46,Kanti Sweets,4.3,"Mithai, Street Food",3154,"Indiranagar, Bangalore",77.6404672,12.9732913,https://www.zomato.com/bangalore/kanti-sweets-indiranagar/order,50
47,Patiala NH 44,4.3,"North Indian, Chinese, Beverages, Sichuan",746,"Basavanagudi, Bangalore",77.5755021,12.9417261,https://www.zomato.com/bangalore/patiala-nh-44-basavanagudi-bangalore/order,400
48,SLAY Coffee,4.1,Coffee,1426,"Kammanahalli, Bangalore",77.6377094,13.0093455,https://www.zomato.com/bangalore/slay-coffee-kammanahalli-bangalore/order,200
49,Biryani Trip - Destination Hyderabad,4.2,"Biryani, Mughlai, Hyderabadi",2429,"Koramangala 6th Block, Bangalore",77.6238477,12.9390255,https://www.zomato.com/bangalore/biryani-trip-destination-hyderabad-koramangala-6th-block-bangalore/order,300
50,Pizza Paradise,4,"Pizza, Fast Food",43,"Jalahalli, Bangalore",77.5483803,13.0464531,https://www.zomato.com/bangalore/pizza-paradise-3-jalahalli-bangalore/order,150
51,Masti Masala,4.2,"North Indian, Chinese, Fast Food, Beverages",5023,"Rajajinagar, Bangalore",77.554883,12.9882338,https://www.zomato.com/bangalore/masti-masala-rajajinagar/order,250
52,Third Wave Coffee,4.3,"Cafe, Coffee, Fast Food, Beverages",366,"Bannerghatta Road, Bangalore",77.6041899,12.9521804,https://www.zomato.com/bangalore/third-wave-coffee-bannerghatta-road-bangalore/order,250
53,Cookie Man,4.2,Bakery,361,"Vega City, Bannerghatta Road, Bangalore",77.60114314,12.90748805,https://www.zomato.com/bangalore/cookie-man-bannerghatta-road-bangalore/order,150
54,Burgers@59,4,"Burger, Fast Food",54,"Whitefield, Bangalore",77.7497448,12.9696365,https://www.zomato.com/bangalore/burgers@59-whitefield-bangalore/order,100
55,The Bangalore Bakery,3.7,"Cafe, Bakery, Fast Food",27,"Malleshwaram, Bangalore",77.5703253,13.0027353,https://www.zomato.com/bangalore/the-bangalore-bakery-malleshwaram-bangalore/order,250
56,Sri Ruchi Restuarant,3.9,"Street Food, Mughlai, North Indian, Biryani, Chinese, Beverages",6582,"Banaswadi, Bangalore",77.6518539,13.0141618,https://www.zomato.com/bangalore/sri-ruchi-restuarant-banaswadi-bangalore/order,200
57,Hokart - Kolkata Kati King Rolls And Momos,3.3,Rolls,16,"BTM, Bangalore",77.60456543,12.91127585,https://www.zomato.com/bangalore/hokart-kolkata-kati-king-rolls-and-momos-btm-bangalore/order,150
58,Shaap,3.8,"Kerala, Seafood",1624,"Indiranagar, Bangalore",77.6404672,12.9732913,https://www.zomato.com/bangalore/shaap-indiranagar/order,250
59,House Of Juice,3.9,"Juices, Beverages",225,"Varthur Main Road, Whitefield, Bangalore",77.7471103,12.9413238,https://www.zomato.com/bangalore/house-of-juice-varthur-main-road-whitefield-bangalore/order,150
60,Rolls On Wheels,4.1,"Rolls, Fast Food, Chinese",3207,"HSR, Bangalore",77.6398674,12.9092342,https://www.zomato.com/bangalore/rolls-on-wheels-hsr-bangalore/order,150
61,New Shiva Sagar,4,"South Indian, Chinese",122,"Sarjapur Road, Bangalore",77.6653284,12.920441,https://www.zomato.com/bangalore/new-shiva-sagar-sarjapur-road-bangalore/order,100
62,Golden Chaats,3.5,Street Food,92,"Sarjapur Road, Bangalore",77.6653284,12.920441,https://www.zomato.com/bangalore/golden-chaats-sarjapur-road-bangalore/order,100
63,Srinidhi Upachar,4,"South Indian, Chinese, Shake, Sichuan",636,"Banaswadi, Bangalore",77.6518539,13.0141618,https://www.zomato.com/bangalore/srinidhi-upachar-banaswadi/order,150
64,Punjabi Paratha Center,4,North Indian,67,"Thippasandra, Bangalore",77.6509982,12.973936,https://www.zomato.com/bangalore/punjabi-paratha-center-thippasandra-bangalore/order,150
65,Cheesecakes By CakeZone,0,"Bakery, Desserts, Beverages, Ice Cream, Juices, Bengali, Mithai",3,"Banashankari, Bangalore",77.59445195,12.96528325,https://www.zomato.com/bangalore/cheesecakes-by-cakezone-banashankari-bangalore/order,250
66,Haka,4,"Chinese, Momos",506,"Electronic City, Bangalore",77.64825296,12.8487599,https://www.zomato.com/bangalore/haka-electronic-city-bangalore/order,300
67,MDP Coffee House,3.8,"South Indian, Beverages",3895,"Electronic City, Bangalore",77.64825296,12.8487599,https://www.zomato.com/bangalore/mdp-coffee-house-electronic-city-bangalore/order,100
68,Bombay 99 Variety Dosa And Juice,0,"South Indian, Shake",3,"BTM, Bangalore",77.60456543,12.91127585,https://www.zomato.com/bangalore/bombay-99-variety-dosa-and-juice-btm-bangalore/order,150
69,Texas Burgers,4,"Burger, Fast Food, Beverages",3239,"Bommanahalli, Bangalore",77.6239038,12.9089453,https://www.zomato.com/bangalore/texas-burgers-bommanahalli-bangalore/order,200
70,Pork@Night,3.3,"North Indian, Chinese, Naga, Biryani",77,"Whitefield, Bangalore",77.7497448,12.9696365,https://www.zomato.com/bangalore/pork@night-3-whitefield-bangalore/order,250
71,Bismillah Hotel,4.2,"Biryani, North Indian, Chinese, South Indian, Mughlai",7,"HSR, Bangalore",77.6398674,12.9092342,https://www.zomato.com/bangalore/bismillah-hotel-1-hsr-bangalore/order,200
72,California Burrito,4.1,"Mexican, Fast Food, Beverages",3660,"Sigma Mall, Cunningham Road, Bangalore",77.59479879,12.98825765,https://www.zomato.com/bangalore/california-burrito-cunningham-road/order,150
73,Drooling Delight Restaurant,4,"North Indian, Chinese, Sichuan",22,"Electronic City, Bangalore",77.64825296,12.8487599,https://www.zomato.com/bangalore/drooling-delight-restaurant-electronic-city-bangalore/order,150
74,Dande's Hyderabad Biryani,3.6,"Andhra, North Indian, Chinese",682,"New BEL Road, Bangalore",77.564105,13.0393922,https://www.zomato.com/bangalore/dandes-hyderabad-biryani-new-bel-road-bangalore/order,200
75,Gudbud,4.2,"Ice Cream, Shake, Beverages",4220,"Ejipura, Bangalore",77.6269144,12.945245,https://www.zomato.com/bangalore/gudbud-ejipura-bangalore/order,150
76,Godavari Tales,3.6,Biryani,248,"Brookefield, Bangalore",77.7168891,12.9668213,https://www.zomato.com/bangalore/godavari-tales-brookefield-bangalore/order,300
77,Chhotu Chai Point,3.8,"Street Food, Burger, Sandwich",38,"Banaswadi, Bangalore",77.6518539,13.0141618,https://www.zomato.com/bangalore/chhotu-chai-point-banaswadi-bangalore/order,100
78,Basmati Biriyani Nation,3.4,"Biryani, Mughlai, Fast Food, Desserts",8419,"Whitefield, Bangalore",77.7497448,12.9696365,https://www.zomato.com/bangalore/basmati-biriyani-nation-whitefield-bangalore/order,200
79,KFC,3.7,"Burger, Fast Food, Biryani, Desserts, Beverages",14400,"Marathahalli, Bangalore",77.6984163,12.9552572,https://www.zomato.com/bangalore/kfc-marathahalli/order,200
80,Pork Dine Out,3.5,"North Indian, Chinese",104,"Whitefield, Bangalore",77.7497448,12.9696365,https://www.zomato.com/bangalore/pork-dine-out-whitefield-bangalore/order,200
81,FreshMenu,3.8,"Continental, Healthy Food, Fast Food, Burger, Sandwich, Chinese, Pasta, Beverages",21900,"Bellandur, Bangalore",77.6782471,12.93103185,https://www.zomato.com/FreshMenuSarjapur/order,250
82,Mani's Dum Biryani,4.1,"Biryani, Kebab",10800,"Koramangala 5th Block, Bangalore",77.6189768,12.9348429,https://www.zomato.com/manis/order,375
83,Truffles,4.2,"Burger, American, Bakery, Italian, Oriental, Continental, Beverages, Desserts",1945,"New BEL Road, Bangalore",77.564105,13.0393922,https://www.zomato.com/bangalore/truffles-new-bel-road/order,450
84,LeanCrust Pizza- ThinCrust Experts,4.2,"Pizza, Fast Food, Beverages, Desserts",327,"Banashankari, Bangalore",77.59445195,12.96528325,https://www.zomato.com/bangalore/leancrust-pizza-thincrust-experts-banashankari-bangalore/order,400
85,New Krishna Sagar,4,"South Indian, North Indian, Beverages, Chinese, Shake",23600,"Jakkur, Bangalore",77.6068938,13.0784743,https://www.zomato.com/bangalore/new-krishna-sagar-jakkur/order,150
86,Saffron Vegetarian Cuisine,4.1,"North Indian, Chinese, Mexican",2446,"Banaswadi, Bangalore",77.6518539,13.0141618,https://www.zomato.com/bangalore/saffron-vegetarian-cuisine-banaswadi/order,350
87,Haka,4.1,"Chinese, Asian, Momos",417,"Rajajinagar, Bangalore",77.554883,12.9882338,https://www.zomato.com/bangalore/haka-rajajinagar-bangalore/order,300
88,Desserted,4.2,"Cafe, Bakery, Italian, Fast Food, Sandwich, Pasta, Desserts",90,"Vasanth Nagar, Bangalore",77.58516878,12.98872125,https://www.zomato.com/bangalore/desserted-vasanth-nagar/order,375
89,Tummy Full,4,South Indian,945,"Whitefield, Bangalore",77.7497448,12.9696365,https://www.zomato.com/bangalore/tummy-full-whitefield-bangalore/order,100
90,Mahadev Sweets & Chaats,3.6,"Mithai, Street Food",928,"Hebbal, Bangalore",77.5919,13.0382184,https://www.zomato.com/bangalore/mahadev-sweets-chaats-hebbal-bangalore/order,100
91,Yummy Momos,4,"Momos, Chinese, Seafood, Sichuan",377,"Kaggadasapura, Bangalore",77.6790908,12.9846713,https://www.zomato.com/bangalore/yummy-momos-kaggadasapura-bangalore/order,150
92,Zomoz - The Momo Company,4.1,"Momos, Fast Food",746,"Sarjapur Road, Bangalore",77.6653284,12.920441,https://www.zomato.com/bangalore/zomoz-the-momo-company-sarjapur-road-bangalore/order,200
93,Parampara - The Veg Kitchen,3.9,"North Indian, Chinese, Street Food, Desserts",4020,"Electronic City, Bangalore",77.64825296,12.8487599,https://www.zomato.com/bangalore/parampara-the-veg-kitchen-electronic-city-bangalore/order,175
94,Krispy Kreme,4.5,"Desserts, Beverages",888,"Richmond Road, Bangalore",77.6068229,12.9662452,https://www.zomato.com/bangalore/krispy-kreme-richmond-road/order,200
95,Lakshmi Refreshments,0,"South Indian, Street Food",16,"Electronic City, Bangalore",77.64825296,12.8487599,https://www.zomato.com/bangalore/lakshmi-refreshments-electronic-city-bangalore/order,50
96,All Day Breakfast,0,South Indian,8,"Koramangala 1st Block, Bangalore",77.6308832,12.9275886,https://www.zomato.com/bangalore/all-day-breakfast-koramangala-1st-block-bangalore/order,150
97,Donne Biriyani Angadi Mane,4.1,"South Indian, Biryani",3065,"Rajajinagar, Bangalore",77.554883,12.9882338,https://www.zomato.com/bangalore/donne-biriyani-angadi-mane-rajajinagar-bangalore/order,125
98,Raaj's Dakshin Ruchi,4,South Indian,35,"Rajajinagar, Bangalore",77.554883,12.9882338,https://www.zomato.com/bangalore/raajs-dakshin-ruchi-1-rajajinagar-bangalore/order,100
99,Absolute Shawarma,4,"Lebanese, Rolls",1244,"Kumaraswamy Layout, Bangalore",77.5553179,12.9081487,https://www.zomato.com/bangalore/absolute-shawarma-kumaraswamy-layout-bangalore/order,100
100,Domino's Pizza,3.6,"Pizza, Fast Food, Desserts, Beverages",1965,"MG Road, Bangalore",77.6067902,12.9755264,https://www.zomato.com/bangalore/dominos-pizza-1-mg-road/order,200
101,Express By ABs,3.6,"North Indian, Biryani, BBQ",361,"Yeshwantpur, Bangalore",77.5529215,13.02383,https://www.zomato.com/bangalore/express-by-abs-yeshwantpur-bangalore/order,400
102,The Twenty Handmade Chocolates,4,Desserts,40,"JP Nagar, Bangalore",77.5782713,12.9072515,https://www.zomato.com/bangalore/the-twenty-handmade-chocolates-jp-nagar-bangalore/order,150
103,Swathi Restaurant,4.2,"Mangalorean, North Indian, Chinese",2491,"JP Nagar, Bangalore",77.5782713,12.9072515,https://www.zomato.com/bangalore/swathi-restaurant-jp-nagar-bangalore/order,175
104,Bramhin's Homely Foods,0,South Indian,8,"Bannerghatta Road, Bangalore",77.6041899,12.9521804,https://www.zomato.com/bangalore/bramhins-homely-foods-bannerghatta-road-bangalore/order,100
105,Hasanamba Benne Dose,0,"South Indian, Street Food, Chinese",0,"Sahakara Nagar, Bangalore",77.58006135,13.0621474,https://www.zomato.com/bangalore/hasanamba-benne-dose-sahakara-nagar-bangalore/order,50
106,Amazing Kati Rolls 'N' More,3.7,"Rolls, Fast Food, Street Food",1754,"BTM, Bangalore",77.60456543,12.91127585,https://www.zomato.com/bangalore/amazing-kati-rolls-n-more-btm-bangalore/order,150
107,The Old Champaran Meat House,3.5,North Indian,394,"Bommanahalli, Bangalore",77.6239038,12.9089453,https://www.zomato.com/bangalore/the-old-champaran-meat-house-bommanahalli-bangalore/order,200
108,Tandoori Cha,4,"Street Food, Beverages",63,"Bommasandra, Bangalore",77.6916113,12.8162443,https://www.zomato.com/bangalore/tandoori-cha-bommasandra-bangalore/order,75
109,Gilly's Restobar,3.4,"North Indian, European, Bar Food",67,"Bannerghatta Road, Bangalore",77.6041899,12.9521804,https://www.zomato.com/bangalore/gillys-restobar-bannerghatta-road-bangalore/order,750
110,Sankalp Reddy Restaurant,3.6,"South Indian, Andhra, Biryani",5217,"Electronic City, Bangalore",77.64825296,12.8487599,https://www.zomato.com/bangalore/sankalp-reddy-restaurant-electronic-city-bangalore/order,150
111,Aliyans Cafe,4.1,South Indian,527,"Peenya, Bangalore",77.5273253,13.0329419,https://www.zomato.com/bangalore/aliyans-cafe-peenya-bangalore/order,100
112,Odia Dine,3.9,"North Indian, Odia",7382,"Old Airport Road, Bangalore",77.6663946,12.9583828,https://www.zomato.com/bangalore/odia-dine-airport-road/order,150
113,Momoz,3.8,"Chinese, Momos, Burger, Sichuan",1017,"Jeevan Bhima Nagar, Bangalore",77.6568367,12.9678074,https://www.zomato.com/bangalore/momoz-jeevan-bhima-nagar-bangalore/order,250
114,Sundae Everyday Ice Creams,3.7,Ice Cream,229,"Brookefield, Bangalore",77.7168891,12.9668213,https://www.zomato.com/bangalore/sundae-everyday-ice-creams-brookefield-bangalore/order,150
115,Sreeraj Lassi Bar,3.9,"Beverages, Desserts, Ice Cream, Shake",241,"Wilson Garden, Bangalore",77.5968273,12.9489339,https://www.zomato.com/bangalore/sreeraj-lassi-bar-wilson-garden-bangalore/order,150
116,Nandhini Deluxe,4.1,"Andhra, Biryani, South Indian, North Indian, Chinese, Mughlai, Desserts, Beverages",3165,"Jayanagar, Bangalore",77.5824229,12.9292731,https://www.zomato.com/bangalore/nandhini-deluxe-2-jayanagar-bangalore/order,400
117,Nammura Donne Biriyani,4.1,"Biryani, South Indian",1611,"BTM, Bangalore",77.60456543,12.91127585,https://www.zomato.com/bangalore/nammura-donne-biriyani-1-btm/order,200
118,Punjabi Unplugged,3.6,"North Indian, Chinese, Kebab, Biryani, Mughlai",1193,"Whitefield, Bangalore",77.7497448,12.9696365,https://www.zomato.com/bangalore/punjabi-unplugged-whitefield-bangalore/order,150
119,Pizzaaj,3.5,"Pizza, Fast Food",298,"Indiranagar, Bangalore",77.6404672,12.9732913,https://www.zomato.com/bangalore/pizzaaj-indiranagar-bangalore/order,250
120,Dhanush Miltry Hotel,0,"Biryani, Chinese, North Indian",15,"Magadi Road, Bangalore",77.5553564,12.975608,https://www.zomato.com/bangalore/dhanush-miltry-hotel-magadi-road-bangalore/order,100
121,Glen's Bakehouse,4.2,"Bakery, Cafe, Continental, Italian, Fast Food, Beverages, Desserts",2343,"Sanjay Nagar, Bangalore",77.6958748,12.9578658,https://www.zomato.com/bangalore/glens-bakehouse-sanjay-nagar-bangalore/order,400
122,Sri Vinayaka Suger Can Juice Center,4,Juices,21,"Electronic City, Bangalore",77.64825296,12.8487599,https://www.zomato.com/bangalore/sri-vinayaka-suger-can-juice-center-electronic-city-bangalore/order,100
123,Burger Man,3.8,"Burger, Fast Food, Sandwich",227,"Yelahanka, Bangalore",77.5963454,13.1006982,https://www.zomato.com/bangalore/burger-man-yelahanka-bangalore/order,150
124,Diwali Specials By CakeZone - Pure Veg,3.3,"Bakery, Desserts, Waffle",25,"BTM, Bangalore",77.60456543,12.91127585,https://www.zomato.com/bangalore/diwali-specials-by-cakezone-pure-veg-btm-bangalore/order,150
125,Hokart - Mumbai 99 variety Dosa And Pav Bhaji,0,South Indian,0,"Kalyan Nagar, Bangalore",77.6403368,13.0221416,https://www.zomato.com/bangalore/hokart-mumbai-99-variety-dosa-and-pav-bhaji-kalyan-nagar-bangalore/order,125
126,Pancakes By Knight Bite,4,Desserts,31,"Marathahalli, Bangalore",77.6984163,12.9552572,https://www.zomato.com/bangalore/pancakes-by-knight-bite-marathahalli-bangalore/order,150
127,Gelatissimo,4,"Ice Cream, Desserts, Beverages, Shake",31,"Kalyan Nagar, Bangalore",77.6403368,13.0221416,https://www.zomato.com/bangalore/gelatissimo-kalyan-nagar-bangalore/order,250
128,Burger It Up,4,"Burger, Continental, Beverages",40,"Yeshwantpur, Bangalore",77.5529215,13.02383,https://www.zomato.com/bangalore/burger-it-up-yeshwantpur-bangalore/order,250
129,Rajasthani Bhojan,4,Rajasthani,219,"Rajajinagar, Bangalore",77.554883,12.9882338,https://www.zomato.com/bangalore/rajasthani-bhojan-rajajinagar-bangalore/order,100
130,California Burrito,4.3,"Mexican, Fast Food, Beverages",2896,"Mantri Square, Malleshwaram, Bangalore",77.554883,12.9882338,https://www.zomato.com/bangalore/california-burrito-malleshwaram/order,150
131,Pattegar Donne Biriyani,3.9,"Chinese, North Indian, Rolls, Biryani, Desserts",246,"Vijay Nagar, Bangalore",77.61250656,12.96591365,https://www.zomato.com/bangalore/pattegar-donne-biriyani-1-vijay-nagar-bangalore/order,200
132,Ninan's Steak House,3.4,"Steak, BBQ, Fast Food, Beverages, Continental, Salad, Pasta, European",33,"Bommanahalli, Bangalore",77.6239038,12.9089453,https://www.zomato.com/bangalore/ninans-steak-house-bommanahalli-bangalore/order,200
133,"Frozen Bottle - Milkshakes, Desserts and Ice Cream",4.2,"Beverages, Desserts, Ice Cream, Waffle, Bakery, Healthy Food",3499,"Koramangala 5th Block, Bangalore",77.6189768,12.9348429,https://www.zomato.com/bangalore/frozen-bottle-milkshakes-desserts-and-ice-cream-koramangala-5th-block-bangalore/order,250
134,Gullu's Chat,3.8,"Fast Food, Street Food, Sandwich, Pizza, Desserts, Beverages",8049,"Seshadripuram, Bangalore",77.5753419,12.9931876,https://www.zomato.com/bangalore/gullus-chat-seshadripuram/order,125
